시가,고가,저가,종가,거래량,금액(백만)
59000.0,59200.0,57800.0,57800.0,16930719.0,988996.0
58900.0,59900.0,58000.0,58400.0,25307825.0,1490617.0
58000.0,58400.0,57700.0,58000.0,15672548.0,909053.0
59400.0,59600.0,58000.0,58700.0,22089460.0,1300660.0
58200.0,59000.0,57700.0,59000.0,18573934.0,1083108.0
58000.0,59500.0,57800.0,58200.0,24907912.0,1462107.0
57600.0,58300.0,57500.0,57800.0,17774291.0,1029080.0
57900.0,58400.0,57100.0,57500.0,18751717.0,1081791.0
57100.0,58400.0,57100.0,58000.0,21625874.0,1250814.0
57300.0,57500.0,56300.0,56900.0,17739706.0,1007827.0
57200.0,58100.0,57000.0,57300.0,19419694.0,1115746.0
57800.0,57900.0,56700.0,56800.0,21158940.0,1209657.0
59500.0,59600.0,57700.0,57900.0,21943345.0,1282932.0
59700.0,60100.0,59000.0,59000.0,19285354.0,1147804.0
60300.0,60400.0,58600.0,59000.0,36476611.0,2169959.0
57000.0,58800.0,56400.0,58600.0,48431566.0,2803148.0
54300.0,55700.0,54300.0,55600.0,21054421.0,1165207.0
54000.0,54400.0,53700.0,54200.0,10994535.0,594538.0
54700.0,54700.0,53800.0,54100.0,16214932.0,876160.0
55300.0,55500.0,54700.0,54700.0,12885057.0,708749.0
55200.0,55400.0,54800.0,55300.0,18297260.0,1009863.0
54800.0,54800.0,54000.0,54200.0,10507530.0,571387.0
54200.0,54700.0,54100.0,54400.0,10096174.0,549371.0
54800.0,54800.0,53800.0,53800.0,16779127.0,909095.0
54400.0,55000.0,54300.0,54700.0,24051450.0,1317316.0
53700.0,53800.0,53200.0,53800.0,14269484.0,763627.0
53300.0,53800.0,53100.0,53400.0,12240188.0,654722.0
53100.0,53200.0,52300.0,52700.0,13714746.0,722450.0
53200.0,53600.0,52800.0,52800.0,17054850.0,906943.0
53600.0,53900.0,52900.0,53000.0,19664652.0,1049005.0
55800.0,55900.0,53400.0,53400.0,30760032.0,1672754.0
54000.0,55000.0,53800.0,55000.0,19856623.0,1084004.0
